litter_id,dam_id,grid,food,year,litter_size,litter_fit,part,fieldBDate,n1_date,n2_date,mean_growth,byear,dam_age,num_trees,cone_counts,cone_index,mast,EXP,Exp_label,prev_year,cone_index_tm1,mast_tm1,local_density
35,11049,JO,0,2013,4,0,103,2013-04-13,105,NA,NA,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
36,11726,JO,0,2013,4,0,103,2013-04-13,103,128,1.461333333,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
37,11720,JO,0,2013,3,1,104,2013-04-14,106,129,1.599996666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
38,11965,JO,0,2013,2,1,99,2013-04-09,106,124,1.63611,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
39,10321,JO,0,2013,1,0,105,2013-04-15,106,129,2.12174,2007,6,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
40,12357,JO,0,2013,4,1,106,2013-04-16,107,132,1.484,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
41,12528,JO,0,2013,1,0,105,2013-04-15,107,129,1.96818,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
42,13023,AG,1,2013,2,2,108,2013-04-18,109,133,1.985415,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
43,10654,SU,0,2013,2,1,106,2013-04-16,109,132,1.40652,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.8391237868396793
44,13257,AG,1,2013,2,0,107,2013-04-17,109,132,1.19565,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
45,12180,SU,0,2013,3,0,108,2013-04-18,109,NA,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.1317684842090334
46,11794,JO,0,2013,3,0,108,2013-04-18,109,134,2.024,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
47,11934,AG,1,2013,3,1,91,2013-04-01,109,118,2.662963333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
48,13425,JO,0,2013,3,1,109,2013-04-19,110,134,1.779163333,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
49,11875,JO,0,2013,3,0,109,2013-04-19,110,134,1.818056666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
50,11897,KL,0,2013,4,0,110,2013-04-20,110,NA,NA,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,0.7073553026306458
51,11527,JO,0,2013,4,0,109,2013-04-19,110,134,1.3114575,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
52,10233,JO,0,2013,3,0,109,2013-04-19,110,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
53,11619,KL,0,2013,3,0,110,2013-04-20,111,134,2.15435,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
54,10650,AG,1,2013,2,0,108,2013-04-18,111,NA,NA,2008,5,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
55,19246,AG,1,2013,3,2,109,2013-04-19,111,133,1.754543333,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
56,10526,JO,0,2013,4,1,109,2013-04-19,111,135,1.547223333,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
57,12535,AG,1,2013,4,0,107,2013-04-17,112,140,1.71667,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
58,12606,AG,1,2013,4,0,112,2013-04-22,112,138,1.3586525,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
59,12462,SU,0,2013,3,0,111,2013-04-21,112,135,1.982606666,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.1317684842090334
60,11678,JO,0,2013,4,0,81,2013-03-22,113,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
61,12846,JO,0,2013,2,2,112,2013-04-22,113,138,1.938,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
62,12095,AG,1,2013,3,0,111,2013-04-21,113,138,1.706666666,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
63,13659,AG,1,2013,3,0,110,2013-04-20,111,NA,NA,2007,6,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
64,11943,SU,0,2013,3,0,111,2013-04-21,113,136,1.6971,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,0.5658842421045167
65,10918,SU,0,2013,3,0,113,2013-04-23,113,NA,NA,2009,4,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
66,10046,KL,0,2013,4,1,113,2013-04-23,114,140,1.076923333,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.7683882565766147
67,11041,JO,0,2013,3,0,108,2013-04-18,NA,138,NA,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
68,12186,AG,1,2013,3,3,112,2013-04-22,116,141,1.656,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
69,12157,AG,1,2013,3,0,111,2013-04-21,116,136,1.046666666,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
70,13203,JO,0,2013,3,0,114,2013-04-24,116,141,2.028,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
71,11537,KL,0,2013,3,0,116,2013-04-26,116,141,1.253333333,2009,4,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.1317684842090334
74,11872,JO,NA,2013,3,1,116,2013-04-26,117,141,1.652776666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
75,13206,JO,0,2013,3,0,116,2013-04-26,117,142,1.826,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
76,11961,JO,0,2013,3,0,116,2013-04-26,117,141,1.18611,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
77,13092,SU,0,2013,3,2,117,2013-04-27,117,144,1.774075,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,0.9902974236829042
78,11499,AG,1,2013,3,0,115,2013-04-25,117,139,1.5303,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
79,12625,KL,0,2013,3,0,117,2013-04-27,117,142,1.668,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.6976527263135501
80,12190,KL,0,2013,1,0,115,2013-04-25,117,140,1.98696,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.4147106052612917
81,10841,JO,0,2013,4,2,118,2013-04-28,118,142,1.4645825,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
82,12434,SU,0,2013,4,0,118,2013-04-28,118,143,1.608,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,NA
83,12137,KL,0,2013,3,1,118,2013-04-28,118,144,1.582053333,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,0
84,11775,KL,0,2013,2,2,118,2013-04-28,118,142,1.825,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.263536968418067
85,10717,AG,1,2013,3,0,116,2013-04-26,118,138,1.76,2007,6,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
86,12679,AG,1,2013,2,1,109,2013-04-19,118,134,1.14375,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
87,11370,JO,0,2013,4,0,114,2013-04-24,119,141,1.5803,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
88,12844,JO,0,2013,3,1,117,2013-04-27,119,142,1.51884,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
89,12474,AG,1,2013,3,0,117,2013-04-27,119,143,1.265276666,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
90,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,13112,KL,0,2013,3,1,119,2013-04-29,119,143,1.161113333,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.4147106052612917
92,13424,JO,0,2013,4,1,119,2013-04-29,120,142,1.7625025,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
93,12639,JO,0,2013,3,1,119,2013-04-29,120,142,1.489393333,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
94,11722,SU,0,2013,4,0,121,2013-05-01,121,147,1.4951925,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.6976527263135501
95,12026,SU,0,2013,3,1,120,2013-04-30,121,144,1.240583333,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,2.051330377628873
96,11376,JO,0,2013,4,0,120,2013-04-30,121,147,1.609615,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
97,11905,JO,0,2013,4,0,124,2013-05-04,124,149,1.576,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
99,13131,SU,0,2013,3,1,121,2013-05-01,124,147,1.291305,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
100,12037,JO,0,2013,3,0,122,2013-05-02,124,151,2.148145,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
101,11896,KL,0,2013,4,0,124,2013-05-04,124,149,1.506,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.1317684842090334
102,10520,JO,0,2013,3,0,124,2013-05-04,125,149,1.027776666,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
103,11803,JO,0,2013,3,0,123,2013-05-03,125,149,1.768056666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
104,11256,KL,0,2013,3,0,125,2013-05-05,125,150,1.344,2009,4,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,3.253834392100971
105,11963,SU,0,2013,2,1,123,2013-05-03,125,148,1.708695,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.2732395447351625
106,12083,AG,1,2013,3,0,109,2013-04-19,126,NA,NA,2007,6,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
107,12270,AG,1,2013,3,0,126,2013-05-06,126,153,1.9,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
108,12676,JO,0,2013,2,0,126,2013-05-06,126,NA,NA,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
109,11816,JO,0,2013,3,0,126,2013-05-06,127,153,0.796153333,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
110,11220,KL,0,2013,3,0,127,2013-05-07,127,154,1.396296666,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.1220659078919377
111,10342,KL,0,2013,3,0,127,2013-05-07,127,151,1.081943333,2007,6,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.546479089470325
112,12305,KL,0,2013,4,1,127,2013-05-07,127,153,1.4548075,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.687950149996454
113,12303,KL,0,2013,3,2,128,2013-05-08,128,153,1.68,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.687950149996454
114,12435,SU,0,2013,3,0,128,2013-05-08,128,NA,NA,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.8391237868396793
115,11966,JO,0,2013,3,1,126,2013-05-06,128,151,1.123915,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
116,13061,JO,0,2013,3,0,126,2013-05-06,128,151,1.1971,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
117,13101,JO,0,2013,2,1,126,2013-05-06,128,151,1.57391,2008,5,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
118,11962,JO,0,2013,3,0,125,2013-05-05,128,150,1.098486666,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
120,19277,AG,1,2013,2,0,126,2013-05-06,128,151,1.241305,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
121,11306,JO,0,2013,4,0,128,2013-05-08,129,153,1.2822925,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
122,11976,SU,0,2013,3,0,127,2013-05-07,129,154,1.421333333,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4854461355243562
123,13000,SU,0,2013,4,0,128,2013-05-08,129,NA,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,NA
124,11260,JO,0,2013,3,0,128,2013-05-08,129,153,1.5375,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
125,13084,KL,0,2013,3,1,130,2013-05-10,131,155,1.395836666,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.556181665787421
126,12703,KL,0,2013,3,2,129,2013-05-09,131,154,1.708696666,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.263536968418067
127,13427,JO,0,2013,2,0,131,2013-05-11,131,156,1.244,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
128,12422,KL,0,2013,3,0,131,2013-05-11,131,NA,NA,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
129,10995,KL,0,2013,3,1,131,2013-05-11,131,156,1.441333333,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.263536968418067
130,13012,KL,0,2013,3,0,130,2013-05-10,131,155,1.67778,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.1220659078919377
131,10374,KL,0,2013,2,2,130,2013-05-10,132,155,1.92174,2007,6,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
132,12423,KL,0,2013,2,1,129,2013-05-09,132,154,1.90455,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.1220659078919377
133,12513,KL,0,2013,4,0,130,2013-05-10,132,155,1.3108675,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.405008028944196
134,12626,KL,0,2013,2,1,130,2013-05-10,132,155,1.55,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.556181665787421
135,10848,JO,0,2013,3,NA,NA,NA,131,NA,NA,2009,NA,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
136,12199,KL,0,2013,3,2,132,2013-05-12,133,157,1.305556666,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.263536968418067
137,11272,KL,0,2013,3,2,131,2013-05-11,133,155,1.50909,2009,4,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.9805948473658084
138,11576,SU,0,2013,3,0,132,2013-05-12,133,156,1.665216666,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,2.4757435592072605
139,10593,JO,0,2013,2,1,132,2013-05-12,134,157,1.115215,2007,6,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
140,11994,JO,0,2013,2,0,130,2013-05-10,134,162,1.2,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
141,12319,JO,NA,2013,2,0,131,2013-05-11,134,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
142,12369,JO,0,2013,3,0,133,2013-05-13,134,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
143,13688,JO,0,2013,3,0,131,2013-05-11,134,156,0.58182,2007,6,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
144,11577,SU,0,2013,3,2,132,2013-05-12,134,156,1.66667,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.556181665787421
145,10318,KL,0,2013,3,0,133,2013-05-13,134,157,0.243475,2006,7,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
146,12191,SU,0,2013,1,0,129,2013-05-09,134,NA,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.2732395447351625
147,12003,SU,0,2013,3,0,134,2013-05-14,135,157,1.32879,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,2.1220659078919377
148,11002,SU,0,2013,3,0,134,2013-05-14,135,NA,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
